Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Children out of school, primary, female",SE.PRM.UNER.FE,Kenya,KEN,..,861725,379261,501833,484010,..,..,413319,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,22579,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Korea, Rep.",KOR,..,73,2767,3279,15908,24030,20569,21024,54508,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Kuwait,KWT,..,587,830,44,..,508,338,556,776,799,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Kyrgyz Republic,KGZ,..,18490,11799,12886,13712,12635,12443,6074,4170,4892,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Lao PDR,LAO,..,106295,67992,56572,44900,27315,25910,26384,20224,20826,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Latvia,LVA,..,..,..,1681,655,456,527,592,586,1483,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Lebanon,LBN,..,..,31157,28552,26159,22014,22357,30002,34523,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Lesotho,LSO,30385,27285,40915,38388,36482,33169,30629,27745,30561,29707,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Liberia,LBR,..,..,..,167352,183644,..,194833,..,..,220411,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,18,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Lithuania,LTU,..,2062,2484,774,426,363,1059,654,77,66,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Luxembourg,LUX,..,281,205,310,..,669,762,696,686,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Macao SAR, China",MAC,2343,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Macedonia, FYR",MKD,..,2102,5684,7584,6915,4546,..,7575,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Madagascar,MDG,263135,382214,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Malawi,MWI,..,..,48564,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Malaysia,MYS,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Maldives,MDV,..,681,689,1799,903,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Mali,MLI,..,..,491945,..,445720,443264,440172,478514,..,553371,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Malta,MLT,298,..,..,..,..,..,2171,1962,1392,723,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Mauritania,MRT,..,86978,63067,72718,77131,77449,76150,79230,74560,69010,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Mauritius,MUS,1331,4240,1616,1638,1451,1362,1139,2725,1306,1201,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Mexico,MEX,..,64375,347760,356807,309685,243397,182144,137703,141671,128037,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,826,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Moldova,MDA,..,9634,8578,7914,7930,7228,7018,6807,6710,7270,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Mongolia,MNG,..,7833,2541,2410,4198,3210,2787,3373,6149,5836,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Montenegro,MNE,..,..,800,1004,..,..,1574,1060,..,..,1314,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Morocco,MAR,857248,554374,227349,198553,176172,97035,49730,38712,20094,20186,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Mozambique,MOZ,..,871926,493300,428663,400958,375818,426866,428213,408894,395391,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Myanmar,MMR,..,273100,143984,282993,332018,335948,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Namibia,NAM,22736,13638,17613,20027,20685,21347,..,18617,14935,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Nauru,NRU,..,..,..,..,..,..,..,153,..,116,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Nepal,NPL,..,545926,..,..,..,..,34009,..,..,95591,56883,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Netherlands,NLD,7895,5778,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,New Zealand,NZL,..,1649,892,645,662,601,947,2160,2577,2933,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Nicaragua,NIC,109783,49447,3070,..,..,1043,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Niger,NER,516571,667999,724112,710098,694462,671522,633019,629700,657845,680251,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Nigeria,NGA,..,3794358,4079958,4879980,4876912,4976430,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Norway,NOR,216,331,1613,1172,1504,1837,1354,205,374,279,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Oman,OMN,52465,24288,..,..,9430,..,3480,3423,2904,2812,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Pakistan,PAK,..,..,3379106,3266771,3085492,2962060,3194221,3216427,3402004,3300032,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Panama,PAN,22424,9190,3809,5163,10137,5636,5962,6112,7880,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Papua New Guinea,PNG,..,..,..,..,..,..,..,98137,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Paraguay,PRY,25219,6940,31896,38254,41521,41528,40599,42488,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Peru,PER,..,..,2602,2505,2618,2485,13826,116214,68487,72356,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Philippines,PHL,112418,..,678062,577724,429432,..,..,..,70648,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Poland,POL,..,66171,55459,51593,41240,34555,33914,30259,29380,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Portugal,PRT,..,..,..,..,1574,1322,3339,2905,3083,4129,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Puerto Rico,PRI,..,..,..,..,..,14801,18848,17256,17824,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Qatar,QAT,3909,57,3969,..,2635,4104,2192,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Romania,ROM,..,44872,20329,23290,24675,28231,31482,36512,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Russian Federation,RUS,..,..,147590,115870,74479,..,55215,54065,51620,87370,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Rwanda,RWA,..,..,..,..,..,..,..,..,22858,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Samoa,WSM,..,967,..,..,..,391,523,354,..,272,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,San Marino,SMR,..,..,..,..,56,..,..,55,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Sao Tome and Principe,STP,..,..,885,807,473,564,..,..,762,725,841,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Saudi Arabia,SAU,..,..,..,..,257331,156719,144865,100318,86350,84618,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Senegal,SEN,385223,370262,293736,287288,288471,285710,287903,261059,..,278394,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Serbia,SRB,..,..,2458,2933,6110,8099,3793,5081,4595,1552,..,..
