Mauritania,         MRT,..,86978,63067,72718,77131,77449,76150,79230,74560,69010,
Mauritius,          MUS,1331,4240,1616,1638,1451,1362,1139,2725,1306,1201,
Mexico,             MEX,..,64375,347760,356807,309685,243397,182144,137703,141671,128037,
Micronesia,         FSM,..,..,..,..,..,..,..,..,..,826,
Moldova,            MDA,..,9634,8578,7914,7930,7228,7018,6807,6710,7270,
Mongolia,           MNG,..,7833,2541,2410,4198,3210,2787,3373,6149,5836,
Montenegro,         MNE,..,..,800,1004,..,..,1574,1060,..,..,1314
Morocco,            MAR,857248,554374,227349,198553,176172,97035,49730,38712,20094,20186,
Mozambique,         MOZ,..,871926,493300,428663,400958,375818,426866,428213,408894,395391,
Myanmar,            MMR,..,273100,143984,282993,332018,335948,..,..,..,..,
Namibia,            NAM,22736,13638,17613,20027,20685,21347,..,18617,14935,..,
Nauru,            NRU,,,,,,,,153,..,116,
Nepal,            NPL,..,545926,..,..,..,..,34009,..,..,95591,56883
Netherlands,            NLD,7895,5778,,,,,,,,,
New Zealand,NZL,..,1649,892,645,662,601,947,2160,2577,2933,
Nicaragua,NIC,109783,49447,3070,..,..,1043,..,..,..,..,
Niger,NER,516571,667999,724112,710098,694462,671522,633019,629700,657845,680251,
Nigeria,NGA,..,3794358,4079958,4879980,4876912,4976430,,,,,
Norway,NOR,216,331,1613,1172,1504,1837,1354,205,374,279,
Oman,OMN,52465,24288,..,..,9430,..,3480,3423,2904,2812,
Pakistan,PAK,..,..,3379106,3266771,3085492,2962060,3194221,3216427,3402004,3300032,
Panama,PAN,22424,9190,3809,5163,10137,5636,5962,6112,7880,..,
Papua New Guinea,PNG,..,..,..,..,..,..,..,98137,..,..,
Paraguay,PRY,25219,6940,31896,38254,41521,41528,40599,42488,..,..,
Peru,PER,..,..,2602,2505,2618,2485,13826,116214,68487,72356,
Philippines,PHL,112418,..,678062,577724,429432,..,..,..,70648,..,
Poland,POL,..,66171,55459,51593,41240,34555,33914,30259,29380,..,
Portugal,PRT,..,..,..,..,1574,1322,3339,2905,3083,4129,
Puerto Rico,PRI,..,..,..,..,..,14801,18848,17256,17824,..,
Qatar,QAT,3909,57,3969,..,2635,4104,2192,..,..,..,
Romania,ROM,,44872,20329,23290,24675,28231,31482,36512,..,..,
Russian Federation,RUS,,..,147590,115870,74479,..,55215,54065,51620,87370,
Rwanda,RWA,,..,..,..,..,..,..,..,22858,..,
Samoa,WSM,,967,..,..,..,391,523,354,..,272,
San Marino,SMR,,,,,56,..,..,55,..,..,
Sao Tome and Principe,STP,,..,885,807,473,564,..,..,762,725,841
Saudi Arabia,SAU,,..,..,..,257331,156719,144865,100318,86350,84618,
Senegal,SEN,385223,370262,293736,287288,288471,285710,287903,261059,..,278394,
Serbia,SRB,,..,2458,2933,6110,8099,3793,5081,4595,1552,
Seychelles,SYC,,235,..,..,..,..,..,..,..,196,
Sierra Leone,SLE,,..,..,..,..,..,..,6479,..,..,
Slovenia,SVN,,1426,1320,1250,1303,1415,1338,947,1038,896,
Solomon Islands,SLB,,..,7750,,,,,,,,
